City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lerwick,60.1545,-1.1494,4.68,74,9,2.37,GB,1739160484
1,kirakira,-10.4544,161.9205,29.54,68,63,3.8,SB,1739160485
2,adam,22.3756,57.5233,20.23,56,0,1.05,OM,1739160486
3,berea,41.3662,-81.8543,-3.01,68,100,5.14,US,1739160488
4,isafjordur,66.0755,-23.124,0.8,99,100,2.08,IS,1739160489
5,mboursou lere,9.7639,14.1539,23.91,18,59,1.87,TD,1739160490
6,tandil,-37.3217,-59.1332,16.85,72,100,5.29,AR,1739160492
7,arraial do cabo,-22.9661,-42.0278,23.69,92,94,5.98,BR,1739160493
8,awjilah,29.1081,21.2869,7.7,66,0,3.07,LY,1739160494
9,alofi,-19.0595,-169.9187,29.94,74,20,4.12,NU,1739160495
10,shihezi,44.3,86.0333,-6.86,70,98,1.62,CN,1739160497
11,okola,4.0167,11.3833,21.55,92,89,1.63,CM,1739160498
12,egilsstadir,65.2653,-14.3948,1.68,89,100,5.04,IS,1739160499
13,fort bragg,35.139,-79.006,12.12,87,100,5.14,US,1739160501
14,jamestown,42.097,-79.2353,-5.2,93,100,4.63,US,1739160502
15,magadan,59.5667,150.8,-20.61,75,0,2.83,RU,1739160503
16,paciran,-6.8767,112.3761,29.44,71,80,5.94,ID,1739160504
17,enewetak,11.3474,162.3373,27.12,76,72,7.62,MH,1739160506
18,tolanaro,-25.0319,46.9987,26.1,83,5,3.03,MG,1739160507
19,grand-lahou,5.1367,-5.0242,26.28,89,99,2.24,CI,1739160508
20,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,41,75,1.0,RU,1739160509
21,ancud,-41.8697,-73.8203,13.81,76,81,8.18,CL,1739160511
22,chui,-33.6971,-53.4616,20.99,87,19,3.21,UY,1739160512
23,donsol,12.9055,123.5949,23.73,94,100,4.57,PH,1739160513
24,colonia,50.9333,6.95,1.7,86,98,1.03,DE,1739160514
25,tchibanga,-2.85,11.0333,22.9,97,98,0.29,GA,1739160516
26,bakshwaho,24.25,79.3,24.21,22,1,1.43,IN,1739160517
27,vyazemskiy,47.5378,134.7525,-11.12,81,100,3.89,RU,1739160518
28,tanjung pandan,-2.75,107.65,28.56,73,100,5.46,ID,1739160322
29,bilibino,68.0546,166.4372,-22.81,97,100,1.5,RU,1739160521
30,malango,-2.9627,119.9001,29.88,49,100,2.17,ID,1739160522
31,sanming,26.2486,117.6186,15.51,37,60,0.67,CN,1739160523
32,geraldton,-28.7667,114.6,27.23,47,20,4.63,AU,1739160525
33,nova londrina,-22.7658,-52.985,24.07,69,8,2.58,BR,1739160526
34,cuyo,10.8525,121.0086,27.41,80,100,5.46,PH,1739160527
35,adh dhibiyah,24.5014,45.9686,9.94,40,1,2.33,SA,1739160528
36,port augusta,-32.5,137.7667,35.46,20,0,4.62,AU,1739160530
37,polyarnyy,69.1989,33.4478,-1.12,76,53,15.12,RU,1739160531
38,marang,5.2056,103.2059,27.33,64,85,2.2,MY,1739160532
39,luwuk,-0.9516,122.7875,29.94,63,100,1.43,ID,1739160533
40,batang,-6.4846,110.7083,27.7,81,86,6.27,ID,1739160356
41,sherbakul',54.6316,72.3963,-5.81,92,100,6.64,RU,1739160536
42,wesel,51.6667,6.6167,1.7,82,100,5.12,DE,1739160537
43,aasiaat,68.7098,-52.8699,-20.42,95,99,3.67,GL,1739160538
44,tual,-5.6667,132.75,28.61,83,100,8.1,ID,1739160447
45,laguna,38.421,-121.4238,7.75,70,0,1.54,US,1739160541
46,tura,25.5198,90.2201,23.05,26,0,1.78,IN,1739160542
47,puerto ayora,-0.7393,-90.3518,25.86,94,100,1.12,EC,1739160543
48,cabugao,17.7931,120.4578,28.83,47,0,1.94,PH,1739160544
49,arauca,7.0847,-70.7591,27.98,65,62,1.34,CO,1739160357
50,bonthe,7.5264,-12.505,24.25,92,6,2.08,SL,1739160547
51,tecate,32.5667,-116.6333,10.75,50,100,1.54,MX,1739160505
52,alo,6.5486,4.2686,25.95,91,90,1.5,NG,1739160550
53,bandarbeyla,9.4942,50.8122,23.87,78,91,4.1,SO,1739160551
54,shenjiamen,29.9576,122.298,6.27,52,1,2.37,CN,1739160552
55,puerto colombia,10.9878,-74.9547,26.05,83,100,12.3,CO,1739160553
56,cukai,4.25,103.4167,27.91,61,82,3.97,MY,1739160554
57,nemuro,43.3236,145.575,-1.52,68,100,6.08,JP,1739160556
58,puerto aysen,-45.4,-72.7,9.22,99,99,2.98,CL,1739160557
59,las tablas,7.7667,-80.2833,23.99,99,95,7.35,PA,1739160558
60,sibay,52.7181,58.6658,-10.84,93,0,1.38,RU,1739160559
61,wagar,16.1525,36.2032,18.04,74,46,2.39,SD,1739160561
62,greymouth,-42.4667,171.2,19.63,72,100,3.52,NZ,1739160562
63,aztec,36.8222,-107.9929,4.56,74,100,1.04,US,1739160563
64,sambava,-14.2667,50.1667,25.43,89,74,1.75,MG,1739160465
65,ilulissat,69.2167,-51.1,-14.99,78,100,3.09,GL,1739160566
66,fort mcmurray,56.7268,-111.381,-34.28,99,44,0.94,CA,1739160567
67,oeiras do para,-2.0031,-49.8544,22.88,98,100,0.33,BR,1739160568
68,katsuura,35.1333,140.3,7.57,49,76,4.36,JP,1739160557
69,jijiga,9.35,42.8,17.71,62,20,1.31,ET,1739160571
70,buhe,30.2876,112.2298,10.35,41,9,3.51,CN,1739160572
71,chenghua,23.4613,116.7701,15.53,32,1,2.57,CN,1739160478
72,edinburgh of the seven seas,-37.0676,-12.3116,16.41,81,8,6.2,SH,1739160574
73,san giovanni valdarno,43.5667,11.5333,4.17,98,26,0.45,IT,1739160576
74,troitsko-pechorsk,62.7084,56.1964,-8.49,90,24,3.53,RU,1739160577
75,myrina,39.8797,25.0742,4.58,60,75,6.17,GR,1739160578
76,kavadarci,41.4331,22.0119,-0.06,87,18,0.27,MK,1739160579
77,mallawi,27.7314,30.8417,10.54,70,53,3.71,EG,1739160581
78,inhambane,-23.865,35.3833,26.46,86,63,1.95,MZ,1739160582
79,ta`u,-14.2336,-169.5144,28.95,74,24,6.18,AS,1739160583
80,yellowknife,62.456,-114.3525,-31.18,100,88,2.5,CA,1739160584
81,shalqar,47.8333,59.6,-12.78,84,9,4.05,KZ,1739160586
82,midland,31.9974,-102.0779,5.14,57,75,4.12,US,1739160468
83,mount pearl,47.5166,-52.7813,-2.7,95,100,13.38,CA,1739160317
84,roses,42.262,3.1769,7.84,90,96,1.7,ES,1739160589
85,lepsy,46.235,78.9456,-12.9,87,5,5.38,KZ,1739160591
86,ghat,24.9647,10.1728,10.13,44,0,1.17,LY,1739160592
87,hawaiian paradise park,19.5933,-154.9731,23.26,79,75,3.6,US,1739160593
88,tortoli,39.9256,9.6572,11.19,84,14,0.89,IT,1739160594
89,kapa'a,22.0752,-159.319,24.71,72,0,1.54,US,1739160596
90,opuwo,-18.0607,13.84,23.08,58,73,0.51,NA,1739160597
91,punta arenas,-53.15,-70.9167,10.06,76,75,4.12,CL,1739160522
92,blackmans bay,-43.0167,147.3167,19.18,58,19,4.99,AU,1739160600
93,nago,26.5881,127.9761,16.75,50,23,2.72,JP,1739160601
94,namtsy,62.7161,129.6658,-28.71,92,100,1.64,RU,1739160602
95,katsuren-haebaru,26.3369,127.8719,18.21,51,75,2.57,JP,1739160545
96,marsh harbour,26.5412,-77.0636,22.69,81,0,3.66,BS,1739160605
97,harar,9.3094,42.1258,16.32,63,58,0.56,ET,1739160446
98,brookings,44.3114,-96.7984,-13.86,83,100,2.57,US,1739160495
99,sur,22.5667,59.5289,22.25,68,0,1.39,OM,1739160608
100,beberibe,-4.1797,-38.1306,25.36,88,100,4.98,BR,1739160610
101,sarangani,5.4033,125.4636,27.53,84,61,10.68,PH,1739160611
102,chernomorskoye,45.5039,32.6997,-1.08,79,76,6.94,UA,1739160612
103,shalkar,47.8288,59.6258,-12.53,83,10,4.14,KZ,1739160613
104,margate,51.3813,1.3862,4.93,82,100,1.79,GB,1739160497
105,reyes,-14.3167,-67.3833,22.83,98,97,1.0,BO,1739160616
106,taltal,-25.4,-70.4833,19.64,91,48,1.94,CL,1739160617
107,nantucket,41.2835,-70.0995,-1.94,86,100,3.43,US,1739160328
108,ilhabela,-23.7781,-45.3581,24.08,90,99,2.02,BR,1739160620
109,ust-nera,64.5667,143.2,-34.42,96,61,1.5,RU,1739160621
110,statesboro,32.4488,-81.7832,17.89,94,0,0.0,US,1739160622
111,ambodifotatra,-16.9833,49.85,26.99,83,14,2.88,MG,1739160623
112,saltillo,25.4167,-101.0,16.27,55,0,4.92,MX,1739160330
113,thames,-37.1333,175.5333,21.8,79,100,2.13,NZ,1739160626
114,ternate,0.8,127.4,29.07,72,85,4.56,ID,1739160402
115,coronel suarez,-37.4547,-61.9334,22.32,59,4,4.7,AR,1739160628
116,port-aux-francais,-49.35,70.2167,8.31,94,86,16.53,TF,1739160629
117,ribeira grande,38.5167,-28.7,13.76,84,75,4.47,PT,1739160631
118,luderitz,-26.6481,15.1594,16.66,72,0,9.26,NA,1739160632
119,qamdo,31.1667,97.2333,-1.98,53,97,2.52,CN,1739160633
120,trincomalee,8.5711,81.2335,26.48,68,100,4.67,LK,1739160634
121,luganville,-15.5333,167.1667,29.78,74,79,2.7,VU,1739160636
122,mersing,2.4312,103.8405,26.95,71,100,5.57,MY,1739160637
123,syumsi,57.1111,51.6149,-10.38,100,100,1.21,RU,1739160638
124,alice springs,-23.7,133.8833,39.75,12,90,7.72,AU,1739160401
125,port alfred,-33.5906,26.891,17.88,100,100,5.26,ZA,1739160641
126,port mathurin,-19.6833,63.4167,27.53,81,36,5.4,MU,1739160642
127,thompson,55.7435,-97.8558,-25.9,95,100,2.5,CA,1739160643
128,yorkton,51.2167,-102.4677,-22.33,85,50,6.42,CA,1739160644
129,eldorado,-23.7869,-54.2836,24.12,71,0,2.25,BR,1739160646
130,wuhai,39.6647,106.8122,0.57,28,0,6.36,CN,1739160647
131,pikalevo,59.5183,34.1664,-14.13,99,75,0.92,RU,1739160648
132,hithadhoo,-0.6,73.0833,27.97,72,27,4.03,MV,1739160650
133,sodra sandby,56.5667,16.6167,1.61,78,96,6.48,SE,1739160652
134,pisco,-13.7,-76.2167,23.03,88,100,2.06,PE,1739160590
135,beloyarskiy,63.7119,66.6722,-12.55,97,89,1.61,RU,1739160655
136,labrador city,52.9463,-66.9114,-33.67,100,51,1.38,CA,1739160656
137,codrington,-38.2667,141.9667,24.1,54,90,8.91,AU,1739160657
138,fale old settlement,-9.3852,-171.2468,28.89,71,68,4.92,TK,1739160658
139,pitimbu,-7.4706,-34.8086,26.87,71,100,4.5,BR,1739160660
140,porto novo,6.4965,2.6036,25.99,89,100,1.84,BJ,1739160661
141,iskateley,67.6803,53.1512,-5.05,91,100,8.04,RU,1739160662
142,itaueira,-7.6033,-43.0256,23.9,63,95,1.85,BR,1739160664
143,waitangi,-43.9535,-176.5597,17.68,91,83,1.79,NZ,1739160665
144,olyokminsk,60.3736,120.4264,-25.96,96,79,0.88,RU,1739160666
145,westport,41.1415,-73.3579,-1.03,82,0,1.54,US,1739160667
146,novodvinsk,64.4165,40.8122,-5.14,90,99,4.77,RU,1739160669
147,tarnogskiy gorodok,60.4997,43.5761,-13.59,99,74,1.89,RU,1739160670
148,kobelyaky,49.1489,34.1965,-6.74,87,6,2.48,UA,1739160671
149,les avirons,-21.2418,55.3394,27.43,74,0,2.06,RE,1739160672
150,greenville,35.6127,-77.3663,7.29,74,100,4.63,US,1739160635
151,oyama,36.3,139.8,9.19,19,2,4.22,JP,1739160598
152,talnakh,69.4865,88.3972,-16.86,97,100,5.28,RU,1739160519
153,atafu village,-8.5421,-172.5159,28.49,74,9,5.05,TK,1739160677
154,estevan,49.1334,-102.9842,-22.66,96,67,3.58,CA,1739160678
155,el hadjira,32.6134,5.5126,11.27,40,0,2.54,DZ,1739160680
156,nadi,-17.8,177.4167,30.0,74,75,3.6,FJ,1739160681
157,beitbridge,-22.2167,30.0,23.64,88,100,8.99,ZW,1739160683
158,homer,59.6425,-151.5483,3.94,60,0,6.17,US,1739160463
159,port lincoln,-34.7333,135.8667,23.23,60,0,4.48,AU,1739160685
160,longyearbyen,78.2186,15.6401,-8.09,62,40,7.72,SJ,1739160686
161,barcelos,41.5388,-8.6151,10.91,94,89,1.48,PT,1739160688
162,kurchatov,51.6601,35.6521,-8.0,94,100,2.9,RU,1739160689
163,nova vicosa,-17.8919,-39.3719,24.57,86,100,1.84,BR,1739160690
164,pundong,-7.9522,110.3486,29.63,65,100,4.88,ID,1739160691
165,laojunmiao,39.8333,97.7333,-1.44,36,0,3.67,CN,1739160442
166,el sauzal de rodriguez,31.9,-116.6833,11.34,94,100,1.71,MX,1739160694
167,nurabad,34.0734,47.9725,-9.73,96,68,2.05,IR,1739160695
168,iqaluit,63.7506,-68.5145,-24.06,69,98,1.79,CA,1739160697
169,avarua,-21.2078,-159.775,30.03,74,40,2.06,CK,1739160698
170,as sulayyil,20.4607,45.5779,12.7,42,27,3.68,SA,1739160699
171,escarcega,18.6089,-90.7454,23.13,70,100,1.19,MX,1739160701
172,al abyar,32.19,20.5965,6.23,79,7,3.47,LY,1739160440
173,tara,56.8944,74.371,-3.73,95,100,3.7,RU,1739160703
174,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.54,GF,1739160704
175,taksimo,56.3444,114.8794,-28.02,87,79,0.95,RU,1739160705
176,lebu,-37.6167,-73.65,16.68,89,99,4.44,CL,1739160707
177,magsaysay,6.7667,125.1833,30.86,62,88,4.39,PH,1739160708
178,buala,-8.145,159.5921,30.13,62,86,2.02,SB,1739160709
179,weno,7.4515,151.8468,27.97,83,100,4.63,FM,1739160710
180,tazovsky,67.4667,78.7,-3.44,95,100,7.32,RU,1739160712
181,sitka,57.0531,-135.33,0.3,83,91,1.61,US,1739160415
182,ampanihy,-24.7,44.75,24.28,92,27,0.96,MG,1739160714
183,east london,-33.0153,27.9116,19.7,85,100,4.58,ZA,1739160715
184,port isabel,26.0734,-97.2086,22.23,91,0,3.6,US,1739160716
185,mayo-belwa,9.05,12.05,21.95,22,9,0.97,NG,1739160718
186,sultanah,24.4926,39.5857,14.25,30,0,2.06,SA,1739160719
187,bom jesus,-9.0744,-44.3586,22.26,72,83,0.19,BR,1739160720
188,vorgashor,67.5833,63.95,-7.84,93,100,7.94,RU,1739160721
189,arzgir,45.3728,44.2206,-4.99,62,80,2.56,RU,1739160723
190,balcarce,-37.8462,-58.2552,14.9,95,95,2.68,AR,1739160724
191,icod de los vinos,28.3724,-16.7119,15.26,66,0,1.03,ES,1739160725
192,coquimbo,-29.9533,-71.3436,18.85,77,20,1.54,CL,1739160726
193,de aar,-30.6497,24.0123,15.99,74,0,5.11,ZA,1739160728
194,jutai,-5.1833,-68.9,22.53,99,100,0.09,BR,1739160729
195,kovdor,67.5662,30.4758,-3.97,79,51,6.6,RU,1739160730
196,cannonvale,-20.2833,148.7,26.66,85,100,5.05,AU,1739160731
197,san patricio,28.017,-97.5169,21.97,93,0,2.78,US,1739160733
198,baie-comeau,49.2168,-68.1489,-18.56,86,100,2.24,CA,1739160734
199,taroa,8.7058,171.2275,27.59,77,69,3.58,MH,1739160735
200,chibougamau,49.9168,-74.3659,-20.31,100,100,1.0,CA,1739160736
201,quatre cocos,-20.2078,57.7625,29.49,72,37,1.84,MU,1739160737
202,port-saint-louis-du-rhone,43.3833,4.8,9.13,93,75,2.57,FR,1739160739
203,hermanus,-34.4187,19.2345,16.0,68,7,5.83,ZA,1739160740
204,bandiagara,14.3501,-3.6104,24.16,14,2,4.6,ML,1739160741
205,tazacorte,28.629,-17.9293,14.54,85,0,3.58,ES,1739160742
206,praia da vitoria,38.7333,-27.0667,14.17,85,72,8.77,PT,1739160744
207,howrah,22.5892,88.3103,25.0,61,0,1.54,IN,1739160745
208,nyurba,63.2842,118.3319,-21.33,95,100,1.98,RU,1739160746
209,chak azam sahu,30.75,73.0333,20.63,14,90,0.62,PK,1739160748
210,plouzane,48.3833,-4.6167,3.03,93,40,2.06,FR,1739160749
211,pula,44.8683,13.8481,9.31,93,100,2.57,HR,1739160750
212,robore,-18.3333,-59.75,23.83,67,71,1.2,BO,1739160751
213,viedma,-40.8135,-62.9967,19.89,72,3,7.34,AR,1739160507
214,uturoa,-16.7333,-151.4333,28.16,68,20,2.37,PF,1739160754
215,aripuana,-9.1667,-60.6333,22.89,97,100,0.75,BR,1739160755
216,poronaysk,49.2167,143.1167,-6.37,74,100,3.05,RU,1739160756
217,nguigmi,14.2495,13.1092,20.26,21,4,5.68,NE,1739160758
218,at taj,24.2049,23.2857,8.6,57,1,4.69,LY,1739160759
219,kerikeri,-35.2268,173.9474,18.67,93,99,1.66,NZ,1739160760
220,sinabang,2.4803,96.3801,29.84,66,37,0.6,ID,1739160761
221,walvis bay,-22.9575,14.5053,17.48,81,58,2.7,NA,1739160762
222,massawa,15.6097,39.45,23.93,75,99,4.18,ER,1739160764
223,concordia,-31.393,-58.0209,29.88,53,3,2.68,AR,1739160702
224,selfoss,63.9331,-20.9971,6.69,87,100,9.91,IS,1739160766
225,yeniseysk,58.4497,92.1703,-7.5,93,100,4.31,RU,1739160767
226,ponta delgada,37.7333,-25.6667,15.4,82,40,8.23,PT,1739160769
227,capao da canoa,-29.7456,-50.0097,23.59,84,0,3.54,BR,1739160770
228,khandyga,62.6667,135.6,-31.57,92,52,0.31,RU,1739160737
229,sovetskaya gavan',48.9723,140.2878,-5.45,66,100,1.92,RU,1739160773
230,sa'dah,16.9402,43.7639,11.35,51,1,0.93,YE,1739160774
231,belmonte,-15.8631,-38.8828,23.69,89,75,2.13,BR,1739160775
232,takum,7.2667,9.9833,23.17,22,7,0.11,NG,1739160776
233,ofunato,39.0717,141.7167,2.03,58,30,8.84,JP,1739160778
